old,new
0,o
0,O
1,
2,a
2,A
3,a
3,A
3,e
3,E
3,y
3,Y
5,s
5,S
6,a
6,A
6,e
6,E
9,y
9,Y
(,c
(,C
a,e
a,E
A,e
A,E
a,n
a,N
A,n
A,N
c,e
c,E
C,e
C,E
d,g
d,G
D,g
D,G
e,i
e,I
E,i
E,I
f,t
f,T
F,t
F,T
g,y
g,Y
G,y
G,Y
h,
H,
h,i
h,I
H,i
H,I
h,it
h,It
H,it
H,It
h,lo
h,Lo
H,lo
H,Lo
h,t
h,T
H,t
H,T
h,ti
h,Ti
H,ti
H,Ti
h,tt
h,Tt
H,tt
H,Tt
i,
I,
i,I
I,i
i,l
i,L
I,l
I,L
l,
L,
l,i
l,l
L,i
L,I
l,t
l,T
L,t
L,T
m,
m,ith
m,tin
m,Tin
m,w
m,W
M,
M,ith
M,tin
M,Tin
M,w
M,W
n,i
n,I
n,N
n,p
n,P
N,n
N,p
N,P
o,n
o,N
O,n
O,N
o,u
o,U
O,u
O,U
r,t
r,T
R,t
R,T
t,c
t,C
T,c
T,C
t,l
t,L
T,l
T,L
t,p
t,P
T,p
T,P
u,h
u,H
U,h
U,H
u,W
u,w
U,W
U,w
v,
V,
w,
W,
w,p
w,P
w,W
W,p
W,P
W,w
x,s
x,S
X,s
X,S
z,i
z,I
Z,i
Z,I
